time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
46.573,1e-06,4.5e-07,0.677183042485889,0,0.00022928843651522272,2.5e-07,0.0,0.0
46.574,1e-06,4.5e-07,0.6771834116621918,0,0.00022928868651522273,2.5e-07,0.0,0.0
46.575,1e-06,4.5e-07,0.6771837808382931,0,0.00022928893651522273,2.5e-07,0.0,0.0
46.576,1e-06,4.5e-07,0.6771841500141933,0,0.00022928918651522273,2.5e-07,0.0,0.0
46.577,1e-06,4.5e-07,0.6771845191898922,0,0.00022928943651522274,2.5e-07,0.0,0.0
46.578,1e-06,4.5e-07,0.6771848883653898,0,0.00022928968651522274,2.5e-07,0.0,0.0
46.579,1e-06,4.5e-07,0.6771852575406863,0,0.00022928993651522275,2.5e-07,0.0,0.0
46.58,1e-06,4.5e-07,0.6771856267157813,0,0.00022929018651522275,2.5e-07,0.0,0.0
46.581,0.00010007067015274517,4.5031801568735327e-05,0.6771859958906752,0,0.00022929043651522275,4.483180156873533e-05,9.907067015274517e-05,0.0
46.582,1e-06,4.5e-07,0.6772521957392112,0,0.0002293352683167915,2.5e-07,0.0,0.0
46.583,1e-06,4.5e-07,0.6772525648778179,0,0.0002293355183167915,2.5e-07,0.0,0.0
46.584,1e-06,4.5e-07,0.6772529340162233,0,0.0002293357683167915,2.5e-07,0.0,0.0
46.585,1e-06,4.5e-07,0.6772533031544276,0,0.0002293360183167915,2.5e-07,0.0,0.0
46.586,1e-06,4.5e-07,0.6772536722924306,0,0.00022933626831679152,2.5e-07,0.0,0.0
46.587,1e-06,4.5e-07,0.6772540414302325,0,0.00022933651831679152,2.5e-07,0.0,0.0
46.588,1e-06,4.5e-07,0.6772544105678331,0,0.00022933676831679152,2.5e-07,0.0,0.0
46.589,1e-06,4.5e-07,0.6772547797052325,0,0.00022933701831679153,2.5e-07,0.0,0.0
46.59,1e-06,4.5e-07,0.6772551488424308,0,0.00022933726831679153,2.5e-07,0.0,0.0
46.591,1e-06,4.5e-07,0.6772555179794278,0,0.00022933751831679154,2.5e-07,0.0,0.0
46.592,1e-06,4.5e-07,0.6772558871162236,0,0.00022933776831679154,2.5e-07,0.0,0.0
46.593,1e-06,4.5e-07,0.6772562562528183,0,0.00022933801831679154,2.5e-07,0.0,0.0
46.594,0.00011267714643450236,5.070471589552606e-05,0.6772566253892117,0,0.00022933826831679155,5.0504715895526063e-05,0.00011167714643450236,0.0
46.595,1e-06,4.5e-07,0.6773311937784751,0,0.00022938877303268706,2.5e-07,0.0,0.0
46.596000000000004,1e-06,4.5e-07,0.6773315628740286,0,0.00022938902303268707,2.5e-07,0.0,0.0
46.597,1e-06,4.5e-07,0.677331931969381,0,0.00022938927303268707,2.5e-07,0.0,0.0
46.598,1e-06,4.5e-07,0.6773323010645322,0,0.00022938952303268708,2.5e-07,0.0,0.0
46.599000000000004,1e-06,4.5e-07,0.6773326701594824,0,0.00022938977303268708,2.5e-07,0.0,0.0
46.6,1e-06,4.5e-07,0.6773330392542314,0,0.00022939002303268708,2.5e-07,0.0,0.0
